type,system,name,start_day,end_day,day,index,season,weekday,region,notes,,,,
meta,both,Days per year,,,364,,,,Pan-Regional,364 = 52 weeks of 7 exactly. Both calendars run on the same global day axis 1-364.,,,,
weekday,jerbeen,Tunnel-Tend,,,,1,,,The Shade Briar,Tunnel (short form used in the month grid),,,,
weekday,jerbeen,Cord-Count,,,,2,,,The Shade Briar,Cord (short form used in the month grid),,,,
weekday,jerbeen,Forage-Wide,,,,3,,,The Shade Briar,Forage (short form used in the month grid),,,,
weekday,jerbeen,Thorn-Weave,,,,4,,,The Shade Briar,Thorn (short form used in the month grid),,,,
weekday,jerbeen,Ear-Turn,,,,5,,,The Shade Briar,Ear (short form used in the month grid),,,,
weekday,jerbeen,Kin-Gather,,,,6,,,The Shade Briar,Kin (short form used in the month grid),,,,
weekday,jerbeen,Deep-Still,,,,7,,,The Shade Briar,Deep (short form used in the month grid),,,,
weekday,common,Firstlight,,,,1,,,Pan-Regional,First (short form used in the month grid),,,,
weekday,common,Ledgerday,,,,2,,,Pan-Regional,Ledgerday (short form used in the month grid),,,,
weekday,common,Anvilday,,,,3,,,Pan-Regional,Anvil (short form used in the month grid),,,,
weekday,common,Crossway,,,,4,,,Pan-Regional,Cross (short form used in the month grid),,,,
weekday,common,Hearthday,,,,5,,,Pan-Regional,Hearth (short form used in the month grid),,,,
weekday,common,Marketmoot,,,,6,,,Pan-Regional,Market (short form used in the month grid),,,,
weekday,common,Stillwane,,,,7,,,Pan-Regional,Still (short form used in the month grid),,,,
time_of_day,both,Dawn,,,,1,,,Pan-Regional,key: dawn,,,,
time_of_day,both,Morning,,,,2,,,Pan-Regional,key: morning,,,,
time_of_day,both,Midday,,,,3,,,Pan-Regional,key: midday,,,,
time_of_day,both,Afternoon,,,,4,,,Pan-Regional,key: afternoon,,,,
time_of_day,both,Evening,,,,5,,,Pan-Regional,key: evening,,,,
time_of_day,both,Night,,,,6,,,Pan-Regional,key: night,,,,
month,jerbeen,Grub-Wake,1,28,,1,Spring,,The Shade Briar,The month of the thaw. Specialized foraging teams break winter rationing to harvest subterranean insects.,,,,
month,jerbeen,Hawk-Shadow,29,56,,2,Spring,,The Shade Briar,Migratory raptors return. The Shade Briar's upper canopy must be strictly maintained.,,,,
month,jerbeen,Fox-Whelp,57,84,,3,Spring,,The Shade Briar,Local predators give birth,resulting in highly aggressive fauna in the surrounding region.,,,
month,jerbeen,Hoof-Tread,85,112,,4,Summer,,The Shade Briar,Migration of large herbivores,posing a severe trampling hazard to burrows.,,,
month,jerbeen,Coil-Bask,113,140,,5,Summer,,The Shade Briar,Peak heat. Cold-blooded predators seek the cool roots of the Briar.,,,,
month,jerbeen,Owl-Roost,141,168,,6,Summer,,The Shade Briar,Nocturnal avian predators reach peak population. Night travel is strictly prohibited.,,,,
